address,latitude,longitude
"Estrada Nacional 115-2
2560-592 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.103983,"-9.238991
Sarge"
"Estrada Nacional 115-2
2560-592 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.103983,-9.238991
,,
"Estrada Nacional 115
2560-628 TORRES VEDRAS
Santa Maria e São Miguel, Torres Vedras, Lisboa",GPS: 39.096549,"-9.320873
Bairro Arenes"
"Apartado 115, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 115, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Estrada Nacional 115-2
2565-468 MAXIAL
Maxial, Torres Vedras, Lisboa",GPS: 39.142552,-9.172912
"Apartado 116, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 116, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 117, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 117, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
,,
"Apartado 118, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
,,
"Apartado 118, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 119, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 119, Torres Vedras
2564-910 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
LOJA CTT TORRES VEDRAS"
"Apartado 12, A dos Cunhados
2564-908 A DOS CUNHADOS
A dos Cunhados, Torres Vedras, Lisboa",GPS: 39.101749,"-9.347861
EC A DOS CUNHADOS"
"Apartado 12, Torres Vedras
2564-909 TORRES VEDRAS
São Pedro e São Tiago, Torres Vedras, Lisboa",GPS: 39.090025,"-9.260562
EC TORRES VEDRAS"
"Apartado 12, Silveira
2564-906 SILVEIRA
Silveira, Torres Vedras, Lisboa",GPS: 39.000000,"-8.300000
PC SANTA CRUZ (TORRES VEDRAS)"
,,
